filename,width,height,class,xmin,ymin,xmax,ymax
00000814.jpg,1024,1024,pickup,185,552,232,587
00000814.jpg,1024,1024,camping car,215,37,259,82
00000814.jpg,1024,1024,car,215,69,253,107
00000814.jpg,1024,1024,pickup,538,220,563,268
00000800.jpg,1024,1024,other,116,944,197,1024
00000681.jpg,1024,1024,other,150,995,202,1023
00000121.jpg,1024,1024,pickup,549,77,597,96
00000121.jpg,1024,1024,pickup,638,75,688,104
00000121.jpg,1024,1024,pickup,685,187,727,208
00000121.jpg,1024,1024,pickup,549,379,595,409
00000121.jpg,1024,1024,car,3,337,46,353
00000121.jpg,1024,1024,car,467,645,508,665
00000208.jpg,1024,1024,pickup,159,259,175,297
00000058.jpg,1024,1024,truck,257,128,284,203
00000058.jpg,1024,1024,truck,286,122,313,201
00000058.jpg,1024,1024,car,531,288,577,308
00000058.jpg,1024,1024,pickup,603,406,642,461
00000058.jpg,1024,1024,pickup,553,581,575,630
00000058.jpg,1024,1024,pickup,546,742,568,787
00000058.jpg,1024,1024,pickup,663,631,712,647
00000058.jpg,1024,1024,pickup,668,743,719,767
00000058.jpg,1024,1024,car,673,799,711,812
00000058.jpg,1024,1024,van,112,847,135,896
00000058.jpg,1024,1024,pickup,142,847,161,897
00000058.jpg,1024,1024,other,2,345,66,373
00000056.jpg,1024,1024,camping car,791,857,858,884
00000056.jpg,1024,1024,car,710,776,747,798
00000056.jpg,1024,1024,car,809,129,839,175
00000056.jpg,1024,1024,car,614,170,628,209
00000056.jpg,1024,1024,car,613,210,636,245
00000056.jpg,1024,1024,car,448,-7,480,36
00000056.jpg,1024,1024,car,448,538,492,568
00000618.jpg,1024,1024,camping car,927,172,1012,197
00000618.jpg,1024,1024,car,880,174,915,190
00000429.jpg,1024,1024,car,861,109,887,148
00000429.jpg,1024,1024,pickup,819,31,862,67
00000429.jpg,1024,1024,other,721,44,776,81
00001117.jpg,1024,1024,pickup,75,600,95,648
00001117.jpg,1024,1024,camping car,182,445,248,469
00001117.jpg,1024,1024,car,258,457,303,472
00001117.jpg,1024,1024,pickup,261,425,309,441
00001117.jpg,1024,1024,car,444,617,462,658
00001148.jpg,1024,1024,car,303,106,323,145
00001148.jpg,1024,1024,car,424,113,443,154
00001148.jpg,1024,1024,truck,909,637,938,696
00001148.jpg,1024,1024,car,881,461,902,508
00000273.jpg,1024,1024,pickup,304,60,351,77
00000273.jpg,1024,1024,car,300,92,341,106
00000158.jpg,1024,1024,other,600,233,616,294
00000158.jpg,1024,1024,pickup,409,190,427,243
00000158.jpg,1024,1024,pickup,549,101,594,133
00000437.jpg,1024,1024,tractor,755,486,785,512
00000147.jpg,1024,1024,car,888,257,925,291
00000833.jpg,1024,1024,car,701,252,738,266
00000833.jpg,1024,1024,pickup,775,417,813,464
00000833.jpg,1024,1024,pickup,829,419,865,465
00000833.jpg,1024,1024,car,889,417,920,457
00000413.jpg,1024,1024,pickup,21,163,45,214
00000413.jpg,1024,1024,car,46,172,72,211
00000413.jpg,1024,1024,pickup,130,155,182,188
00000413.jpg,1024,1024,pickup,236,272,258,317
00000413.jpg,1024,1024,tractor,294,352,337,386
00000413.jpg,1024,1024,pickup,343,261,365,310
00000413.jpg,1024,1024,truck,379,189,518,219
00000413.jpg,1024,1024,other,364,148,451,178
00000413.jpg,1024,1024,truck,367,107,441,136
00000413.jpg,1024,1024,truck,453,91,525,114
00000413.jpg,1024,1024,truck,387,71,460,96
00000896.jpg,1024,1024,car,295,874,338,892
00000896.jpg,1024,1024,car,420,868,459,883
00000724.jpg,1024,1024,car,411,651,432,691
00000072.jpg,1024,1024,pickup,135,737,186,767
00000072.jpg,1024,1024,other,48,857,139,897
00000072.jpg,1024,1024,pickup,830,333,850,378
00000410.jpg,1024,1024,car,945,683,989,718
00000410.jpg,1024,1024,car,397,528,413,565
00000410.jpg,1024,1024,car,396,574,412,609
00000410.jpg,1024,1024,tractor,380,703,421,740
00001120.jpg,1024,1024,camping car,107,263,161,321
00001120.jpg,1024,1024,truck,65,175,189,325
00001120.jpg,1024,1024,car,260,38,292,82
00001264.jpg,1024,1024,pickup,942,477,963,519
00000430.jpg,1024,1024,camping car,491,123,519,197
00000430.jpg,1024,1024,pickup,370,220,392,265
00000430.jpg,1024,1024,pickup,424,392,478,426
00000430.jpg,1024,1024,pickup,822,172,845,220
00000430.jpg,1024,1024,camping car,323,712,371,751
00000265.jpg,1024,1024,car,55,19,100,40
00000265.jpg,1024,1024,van,522,712,565,751
00000265.jpg,1024,1024,van,563,674,604,711
00000265.jpg,1024,1024,car,710,596,731,638
00000265.jpg,1024,1024,car,834,596,874,614
00000265.jpg,1024,1024,car,876,603,915,618
00000265.jpg,1024,1024,van,917,603,937,647
00000265.jpg,1024,1024,van,674,871,725,894
00001097.jpg,1024,1024,truck,590,102,726,251
00001097.jpg,1024,1024,car,689,47,728,86
00001097.jpg,1024,1024,car,269,265,309,306
00001147.jpg,1024,1024,pickup,54,986,99,1007
00000808.jpg,1024,1024,pickup,50,26,103,69
00000808.jpg,1024,1024,pickup,29,850,58,893
00000808.jpg,1024,1024,pickup,216,616,261,653
00000808.jpg,1024,1024,pickup,462,959,508,1001
00000808.jpg,1024,1024,camping car,601,233,663,301
00000500.jpg,1024,1024,boat,458,729,498,799
00000500.jpg,1024,1024,pickup,476,675,507,718
00001020.jpg,1024,1024,pickup,35,521,91,565
00000544.jpg,1024,1024,pickup,420,741,441,779
00000544.jpg,1024,1024,car,383,587,405,625
00000544.jpg,1024,1024,car,424,863,444,899
00000544.jpg,1024,1024,car,423,913,440,951
00001094.jpg,1024,1024,pickup,235,267,282,319
00001094.jpg,1024,1024,camping car,186,297,260,374
00001094.jpg,1024,1024,car,191,279,225,320
00001094.jpg,1024,1024,car,19,462,59,504
00000578.jpg,1024,1024,pickup,700,66,718,114
00000578.jpg,1024,1024,car,726,251,746,294
00000578.jpg,1024,1024,car,791,967,810,1010
00000322.jpg,1024,1024,van,38,156,58,205
00000322.jpg,1024,1024,car,1,968,25,1015
00000322.jpg,1024,1024,truck,483,860,516,920
00001089.jpg,1024,1024,car,985,923,1017,961
00000386.jpg,1024,1024,plane,582,51,734,176
00000386.jpg,1024,1024,plane,749,325,893,448
00000663.jpg,1024,1024,car,499,362,540,378
00000670.jpg,1024,1024,pickup,502,127,547,146
00000670.jpg,1024,1024,car,503,256,541,272
00000670.jpg,1024,1024,pickup,658,213,703,231
00000670.jpg,1024,1024,pickup,854,103,903,120
